sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
10001,1.61467210754097,0,0.0317930568216191,0,0.0515204289045852,0,12,1.22571224193494,0.92130944351029,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03673353176995,0.0472096040146072,946.815095329657,1.10680762774138,0.0518804315435257,-37727.2394732375,-35576.8701716513,-2150.36930158614
11001,1.60491256796199,0,0.0318479249027806,0,0.0519140358944978,0,12,1.21187989783699,0.787938570744113,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03673353176995,0.0472096040146072,370.479673566297,1.09639719210947,0.0533583298971168,-37646.2330555371,-35503.6525912925,-2142.58046424459
12001,1.61363123409984,0,0.0328199512375157,0,0.0520201001283046,0,12,1.22175786754636,1.05218286681477,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.03673353176995,0.0734272510455331,535.839871549979,1.10570822391765,0.0559245986748595,-37679.8702670771,-35500.5276642173,-2179.34260285979
13001,1.60738060241229,0,0.0330240901222235,0,0.0519523306398461,0,12,1.221150992908,0.785113986988435,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.16117040924935,0.0579418060188946,351.149527635426,1.05919652767401,0.0499551448934534,-37771.865639875,-35570.3305961828,-2201.5350436922
14001,1.63007084012398,0,0.0340389257158201,0,0.0518003443423831,0,12,1.21161688995219,0.877272747566958,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.16380668546149,0.0667415434574106,124.834562838077,1.09856978447667,0.051341945595029,-37636.9666624514,-35480.748900407,-2156.21776204437
15001,1.60990647279805,0,0.0336959952024695,0,0.0514742421478206,0,12,1.21365472394459,0.977709859022702,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.14789422656752,0.0550431503861657,37.9132135305555,1.09066684844341,0.0635668629133457,-37617.2683731308,-35433.7278329699,-2183.54054016091
16001,1.34530379825911,0,0.02585002861195,0,0.0496436990787404,0,12,1.21689690571606,0.935828411928903,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.09752940955478,0.0885439409503169,764.005632256158,1.97704098634428,0.0628335075418941,-37710.5692849532,-35383.5252523645,-2327.04403258868
17001,1.5883593532858,0,0.0331735270420252,0,0.0506590427333128,0,12,1.22012590976926,1.00901304929392,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.11553901819014,0.0905876865827029,23.2260472141208,1.12367407129704,0.0660340906587646,-37641.919850516,-35449.2739831955,-2192.64586732046
18001,1.572421886848,0,0.0326664930482132,0,0.0498907541470499,0,12,1.21176119085074,0.995960883924671,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08087338515251,0.0908551039967073,311.459950916469,1.13803361825837,0.0685279357571911,-37685.8445740965,-35497.5444940677,-2188.30008002881
19001,1.57171829951485,0,0.0332487668813612,0,0.0500613434864948,0,12,1.2074940692751,0.908268019711574,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,1.08125289217093,0.0835628982593404,335.268534673378,1.18047860293554,0.0709645246528757,-37654.4396446467,-35467.6956001579,-2186.74404448886
