sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_LN,sigma_LN,alpha_LN,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1001,1.97053670475977,0,0.123479813469077,0,0.0173081051048181,0,12,1.25208792734258,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,4.43754879688923,1.64713230492894,280.328449685743,1.00756808942665,0,-37210.9062010831,-36090.0194668497,-1120.88673423348
1101,1.62473887908343,0,0.042792728797164,0,0.0393056008438926,0,12,1.23949612651857,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.81405753248715,2.04819412890863,586.416065809442,0.249645465040126,0,-37058.0499994692,-35423.9979287229,-1634.05207074637
1201,1.62909029859007,0,0.0391495237873618,0,0.0398392940715606,0,12,1.21882486581013,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83067667472213,2.03831011283097,601.640698825887,0.242170077860554,0,-36720.613093568,-35062.1411942572,-1658.47189931076
1301,1.61815456908683,0,0.0383700322549869,0,0.0401363298989376,0,12,1.20836474807127,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.80431166077704,2.03086502907946,628.130503979248,0.283910475185551,0,-36471.558236543,-34813.7204781837,-1657.83775835932
1401,1.62300021779658,0,0.0349967171962899,0,0.0404847749964294,0,12,1.20292852504991,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83374645825655,2.02870603911591,635.652137156663,0.309481991817461,0,-36361.0321890594,-34689.5107498456,-1671.52143921382
1501,1.61942023673273,0,0.0350622550548759,0,0.0406154896127481,0,12,1.19539111441727,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83119249517251,2.02932729033616,641.807023189849,0.311762689510936,0,-36241.5987682227,-34573.2992749012,-1668.29949332156
1601,1.60640640820699,0,0.0337961111314206,0,0.0408525216649446,0,12,1.19017672093521,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.84106032528593,2.02653252492477,658.943646919596,0.297610229814618,0,-36139.1542761295,-34473.3557821788,-1665.79849395074
1701,1.60917514730182,0,0.0346303875695545,0,0.0409618480214761,0,12,1.18732075157509,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.8474766105665,2.02180102378645,679.958499017392,0.307539936587259,0,-36068.9002574259,-34399.6469341407,-1669.25332328516
1801,1.61492107585275,0,0.0351840345759191,0,0.0408654951240581,0,12,1.18583875231233,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83341761965831,2.02319699956986,679.728233923879,0.336626907133812,0,-35955.2260455469,-34283.7096846905,-1671.51636085643
1901,1.61795014388303,0,0.0361656035657555,0,0.0409035000905684,0,12,1.18431946210569,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.82740037996614,2.02198640340874,685.046007282044,0.336844543443496,0,-35815.9827582031,-34144.2282203547,-1671.75453784832
2001,1.61599349589441,0,0.0346323072116363,0,0.0409546914079282,0,12,1.18090650915685,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.84563307505911,2.01891701030351,690.039460772382,0.339947267093265,0,-35762.9144863983,-34085.9761305249,-1676.93835587335
2101,1.613368480829,0,0.0339705650552359,0,0.0409758667083865,0,12,1.18095379583148,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.85133629449683,2.01799163419265,685.537257151696,0.333899621550734,0,-35731.6920447883,-34051.6316026283,-1680.06044215996
2201,1.61223759930373,0,0.0333088600133423,0,0.041184104999487,0,12,1.17819183621757,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.84106408695401,2.01643534685318,690.194741259857,0.33946469874365,0,-35636.5035917433,-33959.0185138872,-1677.48507785602
2301,1.61548805347469,0,0.0339526271296453,0,0.0413526639545065,0,12,1.17641540488691,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83155015266436,2.01611453876487,685.137860851934,0.347715908315744,0,-35604.1695754622,-33914.4856528029,-1689.6839226593
2401,1.61379512560385,0,0.0335692329429856,0,0.0414677905813409,0,12,1.176477204189,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.82188415269329,2.01665283840479,687.964897415029,0.353669796855182,0,-35555.1161585721,-33870.2243668672,-1684.89179170497
2501,1.61726089827438,0,0.034166625320151,0,0.0415543546596188,0,12,1.17660204960496,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.82503149727999,2.01517036091138,696.385154181472,0.353144891305492,0,-35490.7060486794,-33799.6767049081,-1691.02934377132
2601,1.62308342103056,0,0.0339552526456815,0,0.0416405473533972,0,12,1.17644811041327,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,5.83606772033121,2.01055958009398,707.025490433476,0.351728337383367,0,-35407.4489557194,-33719.0816925979,-1688.36726312149
