sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
3101,2.41213051283809,0,0.0262984687531113,0,0.079294284512375,0,9,0.885763489799706,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.069459531585697,0,0,0,0.242880963692297,0,-1953.13794653512,-1313.14656002089,-639.991386514232
3201,2.40971151759522,0,0.031648949863994,0,0.0774768999569103,0,9,0.904952906724618,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0795438042773629,0,0,0,0.256296899912453,0,-1937.29768518586,-1323.64042701718,-613.65725816868
3301,2.38981169446598,0,0.0333856228412898,0,0.0769763982820114,0,9,0.839331961786464,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0736867238632713,0,0,0,0.225978452223227,0,-1908.98534959987,-1316.78628557763,-592.199064022236
3401,2.40015060695714,0,0.0283919228237255,0,0.0796497952273335,0,9,0.867163921754348,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0749409656295846,0,0,0,0.186253197790639,0,-1903.78128955635,-1315.77242101314,-588.008868543206
3501,2.45044460947217,0,0.0291575586342539,0,0.0798099301665289,0,9,0.843491937273286,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0721686669064321,0,0,0,0.210090466492527,0,-1902.16830687861,-1312.4483460998,-589.71996077881
3601,2.44892447476649,0,0.0318487806871185,0,0.0802081126377637,0,9,0.873419931179636,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0683068802040832,0,0,0,0.220909490070279,0,-1912.46517685749,-1318.48178835467,-593.983388502816
3701,2.41191124836258,0,0.0354723022782757,0,0.0789379986038494,0,9,0.856500769556092,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0796865409273875,0,0,0,0.223082032059398,0,-1930.69453881495,-1315.18105807975,-615.513480735192
3801,2.48926334583282,0,0.0390359046577483,0,0.0788541781598442,0,9,0.834593878427341,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0737803695599835,0,0,0,0.202805749348057,0,-1899.5087696933,-1306.1683882364,-593.340381456901
3901,2.53101649372675,0,0.0383344816925087,0,0.0784570771864296,0,9,0.827274818719094,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0683927556607209,0,0,0,0.249453065526653,0,-1964.33206019043,-1352.55570056008,-611.776359630347
4001,2.53078243440486,0,0.0297618399165722,0,0.0801812071553915,0,9,0.851254482750185,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0739387431102051,0,0,0,0.234660407217572,0,-1913.79769053285,-1322.16492770309,-591.63276282976
4101,2.52959451802789,0,0.0307524306624129,0,0.0806809126339429,0,9,0.886887724488074,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.068744246632831,0,0,0,0.207624480877835,0,-1941.02463762654,-1350.94733057927,-590.077307047263
4201,2.53889130871594,0,0.0252784969972835,0,0.0806542331352247,0,9,0.868195854914072,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0653558228442152,0,0,0,0.247259589921618,0,-1912.86270824406,-1316.77629247836,-596.086415765704
4301,2.45761304047048,0,0.030683340374581,0,0.077955981698467,0,9,0.850165645197748,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0671551184503129,0,0,0,0.196495462388013,0,-1899.91612049752,-1311.26439192872,-588.651728568797
4401,2.47568170327894,0,0.0350526477726601,0,0.077955981698467,0,9,0.878536695699886,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0684702815944446,0,0,0,0.182699313790584,0,-1931.40022109269,-1319.30968824877,-612.09053284392
4501,2.51324812716121,0,0.0402421774315105,0,0.0786828587610958,0,9,0.813941397667079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0620721283628243,0,0,0,0.168884357560237,0,-1987.21667077364,-1357.73027302859,-629.486397745055
4601,2.45461432225363,0,0.0359401340742333,0,0.0799498690868864,0,9,0.918403176868115,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0667903824768983,0,0,0,0.157109853922196,0,-1993.95190996371,-1329.0234746715,-664.928435292217
4701,2.42197384548416,0,0.0439076736609023,0,0.0791459681084649,0,9,0.918403176868115,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0645579605820724,0,0,0,0.185210631959959,0,-2042.29280241092,-1354.66161138906,-687.631191021863
4801,2.4395178799914,0,0.038953638617389,0,0.0788418787874226,0,9,0.916091703002064,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0746958688400728,0,0,0,0.201225718533839,0,-2009.70975173769,-1370.12893954439,-639.580812193303
4901,2.32435076704614,0,0.0394093647490103,0,0.0759216840231357,0,9,0.922917315692244,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0735862468904868,0,0,0,0.250616291633765,0,-2134.20886492756,-1440.65659819302,-693.552266734539
5001,2.4005431786296,0,0.0412101957874379,0,0.0785141071389419,0,9,0.925876175285961,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0711436816291572,0,0,0,0.22948147378918,0,-2037.45384382878,-1349.61131149744,-687.842532331341
5101,2.47823288850364,0,0.0397351842573026,0,0.0787794525670062,0,9,0.854332149043734,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0657090576971356,0,0,0,0.349211509802272,0,-2042.34114839056,-1337.16243560801,-705.178712782549
