sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
10001,2.17503540506764,0,0.0035233763891715,0,0.0818586341708264,0,9,0.844694574552315,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0792613528658159,0,0,0,0.330188807254031,0,-2024.51483115412,-1316.84730664944,-707.667524504673
11001,2.15150885572756,0,0.0195171873714199,0,0.0797502203909968,0,9,0.858936628033636,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0677580476253992,0,0,0,0.250216229461615,0,-2005.39292809489,-1322.79721800732,-682.595710087569
12001,2.16016518839102,0,0.00615492144221134,0,0.0780593891753745,0,9,0.859165213058808,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0457499849654504,0,0,0,0.248528577863486,0,-1983.68056330244,-1311.90097694323,-671.779586359206
13001,2.26946191377683,0,0.0256274278086014,0,0.0778316963916967,0,9,0.890500323997785,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0468676910938851,0,0,0,0.311583010431994,0,-1990.21192589604,-1294.52873894155,-695.683186954489
14001,2.05777770003713,0,0.00495171942110012,0,0.0755502696845196,0,9,0.906057690302669,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0667149564461084,0,0,0,0.615592051266576,0,-2002.79058865432,-1313.30058313332,-689.490005520996
15001,2.26119660546315,0,0.0108081036216282,0,0.0777031132366755,0,9,0.896204227334563,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0378013364703253,0,0,0,0.148023289865379,0,-2060.99388908817,-1343.45840188854,-717.535487199627
16001,2.12148189863772,0,0.00173048322015808,0,0.0783516852860354,0,9,0.83301457984637,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0697301591644077,0,0,0,0.757065011890535,0,-1971.72401030286,-1291.10288048295,-680.621129819917
17001,2.17698558510797,0,0.0112369755957207,0,0.0806618160329971,0,9,0.861418798336073,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0850335022249406,0,0,0,0.48255109040201,0,-1955.55759917091,-1326.83808964814,-628.719509522772
18001,2.14726835160203,0,0.0130659456994831,0,0.078947448787345,0,9,0.861108170221448,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.10235404059272,0,0,0,0.589225781105993,0,-1956.38432163962,-1312.40303687774,-643.981284761879
19001,2.19432121505676,0,0.0119858680277357,0,0.0798937905656402,0,9,0.854002797386502,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0884365961832626,0,0,0,0.621251326109439,0,-1994.37884321976,-1303.14750819158,-691.231335028176
20001,2.1886239698255,0,0.0102015428342683,0,0.077102457704167,0,9,0.843750721151772,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.067499248766959,0,0,0,0.561836316533347,0,-2014.5270076041,-1328.39953319491,-686.127474409189
21001,2.23329289355028,0,0.00617637893767837,0,0.0806782294285748,0,9,0.927988984755584,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0827948924386031,0,0,0,0.608335763550291,0,-1991.66561155676,-1318.43432577643,-673.231285780335
22001,2.24331964902426,0,0.0100025880377088,0,0.0788331479607026,0,9,0.915633155708645,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0775792376173453,0,0,0,0.654473558637926,0,-2022.51971812917,-1318.97282817601,-703.546889953165
