sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1301,1.76659392826259,0,0.0146044787415303,0,0.0502621457912028,0,9,1.04339519969653,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.202343858382665,0,0,0.366258945066948,0,0,-2169.85836864751,-1462.66012298829,-707.198245659229
1401,1.75936063136905,0,0.0178318056906573,0,0.0502621457912028,0,9,1.04339519969653,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.183425103360787,0,0,0.411339550472331,0,0,-2198.32336646263,-1503.80258647697,-694.520779985664
1501,1.7783279761672,0,0.0178318056906573,0,0.0502621457912028,0,9,1.0645969362231,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.189387584920041,0,0,0.491021070054267,0,0,-2146.24762905943,-1489.44564490415,-656.801984155282
1601,1.73994687851518,0,0.0178318056906573,0,0.0502621457912028,0,9,1.0645969362231,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.30565130293835,0,0,0.488173829352018,0,0,-2185.76608982182,-1470.21563992047,-715.550449901345
1701,1.71909071486443,0,0.0210933160665445,0,0.0502621457912028,0,9,1.0645969362231,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.245259982324205,0,0,0.464755996789318,0,0,-2188.12180759434,-1485.75658359867,-702.365223995672
1801,1.71909071486443,0,0.0131576682138257,0,0.0502621457912028,0,9,1.01181419205386,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.284065447631292,0,0,0.438648650010582,0,0,-2180.60222149357,-1467.16983379249,-713.432387701079
1901,2.35031377971172,0,0.0211929824738764,0,0.0705389694310725,0,9,0.912925139302387,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0952622901648284,0,0,0.0883628804772161,0,0,-2121.70753929885,-1441.40223707934,-680.305302219502
2001,2.3484345363453,0,0.0212179180397652,0,0.0705389694310725,0,9,0.912925139302387,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0907487882999705,0,0,0.0835511609050445,0,0,-2070.52233901032,-1410.70879511879,-659.813543891531
2101,2.37444330453873,0,0.0223133673355914,0,0.0705389694310725,0,9,0.996806344366632,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0843774294946344,0,0,0.0863302356866188,0,0,-2031.94477238739,-1397.45805295468,-634.486719432701
2201,2.37444330453873,0,0.0238133424357511,0,0.0705389694310725,0,9,0.91982872155495,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.084048901195638,0,0,0.0719098404119722,0,0,-2015.8957681422,-1375.82419191086,-640.071576231337
