sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
3301,2.76891430412514,0,0.0906117063276095,0,0.0577353569692932,0,9,1.00713315840652,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2123.73490168265,-1453.99767348133,-669.737228201322
3401,2.69340035604937,0,0.0913054526969056,0,0.0591392747390161,0,9,1.07692128853564,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2130.17863947043,-1449.34662988798,-680.832009582452
3501,2.75482555666345,0,0.089377371224828,0,0.0605100808246693,0,9,1.03479875036393,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2121.04181160671,-1451.48178400207,-669.560027604638
3601,2.64413445557507,0,0.0902745646825742,0,0.057794028564707,0,9,1.04349557313296,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2173.85978825195,-1475.09547541686,-698.764312835092
3701,2.72253581089282,0,0.0867466833430971,0,0.0611768124974189,0,9,1.01430464878784,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2137.51504701581,-1438.94519681693,-698.569850198881
3801,2.75721631080596,0,0.0913018026457687,0,0.0621683619882932,0,9,0.978348131305631,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2140.57717795409,-1438.86694685493,-701.710231099153
3901,2.70338329001343,0,0.0820132763696185,0,0.0621683619882932,0,9,0.988079227062238,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2133.95450556548,-1425.88333018301,-708.071175382472
4001,2.5855321508771,0,0.0673316340463602,0,0.0544711365036234,0,9,1.04221166908918,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2161.53537749344,-1474.88328126144,-686.652096231999
4101,2.68990910959277,0,0.0879194344532039,0,0.0580925519758745,0,9,0.982489123369716,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2120.09445110416,-1434.31551886122,-685.778932242935
4201,2.68744631490102,0,0.0871625683251097,0,0.0594380164799637,0,9,0.991986484038159,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2115.69376543196,-1427.36434276583,-688.329422666131
4301,2.8107240273426,0,0.0857765053552401,0,0.0606286674655347,0,9,1.01645416921793,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2110.26735105967,-1421.91340287371,-688.353948185956
4401,2.75242728780303,0,0.0857504518900023,0,0.0596452908739728,0,9,1.02220491929589,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2104.46736348021,-1420.95991594315,-683.507447537063
4501,2.67120165210018,0,0.088890767749649,0,0.057771500829062,0,9,1.00149698739891,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2111.13206448581,-1421.15158822743,-689.980476258381
4601,2.66395858864718,0,0.074826391853284,0,0.0601281514646848,0,9,0.987146736916761,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2094.36296686426,-1413.81415325618,-680.548813608084
4701,2.74970621577477,0,0.08080394044149,0,0.0595282520555668,0,9,1.02023624009561,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2081.67138624744,-1408.91631596669,-672.755070280751
4801,2.65790061555293,0,0.0801492478264745,0,0.0584064348577282,0,9,1.02580876218527,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-2084.54138660211,-1406.95070286261,-677.590683739496
