sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1001,3.0880237912444,0,0.203633371413301,0,0.0820763641967172,0,9,1.19290561697657,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00696779040737661,0,-2398.28075347814,-1618.21005039575,-780.070703082396
1101,3.0223019812471,0,0.203359722417373,0,0.0798539203314099,0,9,1.2558599442013,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000144524558395174,0,-2318.3490588355,-1613.71232122494,-704.636737610559
1201,3.03438426851239,0,0.201890928069621,0,0.0839248405802708,0,9,1.21674117333781,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00657790076606045,0,-2266.4072265621,-1607.20267054418,-659.204556017916
1301,2.83760715829403,0,0.204473224905854,0,0.0782451733445602,0,9,1.17370742736191,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000218060271630704,0,-2228.81469013471,-1606.15578725246,-622.658902882258
1401,2.94265517518233,0,0.198908650467769,0,0.0801758267803094,0,9,1.17852304807625,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00365993185701489,0,-2299.29070148159,-1594.7587906447,-704.531910836893
1501,3.02298737338815,0,0.205269326825838,0,0.0825786022952829,0,9,1.13792793665398,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000319878189094249,0,-2263.6772915849,-1597.23787048357,-666.439421101328
1601,3.08130625946359,0,0.212234746225304,0,0.0826453070203111,0,9,1.23303315488698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000319878189094249,0,-2272.53995072525,-1623.93582443459,-648.604126290662
1701,3.03696021714953,0,0.206451358537502,0,0.0829600274306297,0,9,1.19460706871306,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00174528363601228,0,-2235.48985507057,-1601.61407857551,-633.875776495058
1801,3.28422356581992,0,0.212193137849887,0,0.0894011136045348,0,9,1.11347182401125,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00271855629315501,0,-2249.83997474259,-1606.56567005329,-643.274304689305
1901,3.16755709853316,0,0.212968796500369,0,0.0852337515873821,0,9,1.23958298250264,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00351050477000911,0,-2312.72392090712,-1599.1299107796,-713.59401012752
2001,1.92258653461006,0,0.180150039833468,0,0.0531491276868401,0,9,1.34700942404643,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000363395161125635,0,-2337.32020585782,-1722.95030109041,-614.369904767412
2101,3.27938944322336,0,0.214241422301452,0,0.0820274216584908,0,9,1.21979318178911,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0236556375956446,0,-2298.65670754065,-1687.24490617741,-611.411801363244
2201,3.03217564176207,0,0.210896663269515,0,0.079791562893939,0,9,1.26628789450728,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00117431208602795,0,-2202.76211316205,-1627.70345319601,-575.058659966045
2301,3.1782051803821,0,0.196878273961578,0,0.08466085098447,0,9,1.19572302934414,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00118962575355943,0,-2331.47722391294,-1589.76362517375,-741.713598739187
