sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
32801,3.2482062006391,0,0.394036145320884,0,0.0392147617820826,0,9,1.4200507227303,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.444517100861254,1,0,-2475.91928126138,-1813.25650779333,-662.662773468047
32901,3.42037634803991,0,0.409362512048891,0,0.0407199971975085,0,9,1.50769658620678,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.407023125283012,1,0,-2560.71588355848,-1785.65259344436,-775.063290114125
33001,3.40775899965377,0,0.413802078124305,0,0.0403390650059803,0,9,1.50956562538932,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.400848696054991,1,0,-2499.83310891835,-1806.38376251639,-693.449346401963
33101,2.5544826902898,0,0.243321790936699,0,0.0355960578622921,0,9,1.49176240955218,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.999589788049759,1,0,-2517.12071951021,-1873.70957857517,-643.411140935046
33201,2.47827449510666,0,0.233774175539683,0,0.0358410328142786,0,9,1.49521239467064,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.990573413145247,1,0,-2494.521594785,-1854.43123202147,-640.090362763527
33301,3.56567280437041,0,0.947754830937111,0,0.013388862722852,0,9,1.92521073518493,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.512514860175001,1,0,-2585.2079402089,-2034.16667899643,-551.041261212471
33401,3.91125738802962,0,0.899516009857925,0,0.0155774213202964,0,9,1.78667707027762,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.988338177133814,1,0,-2565.03159627802,-2021.66966014546,-543.361936132569
33501,3.0449780984836,0,0.413390808348077,0,0.0316492361542125,0,9,1.64115473899968,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.500178298645824,1,0,-2632.90497554548,-1883.45461137275,-749.450364172732
33601,2.6219591026831,0,0.258296334196612,0,0.0350697225220827,0,9,1.65735779493806,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.972598576503275,1,0,-2524.86337343502,-1862.48393133773,-662.37944209729
33701,3.71602848849321,0,0.918078221702691,0,0.0172075799574,0,9,1.88661224706434,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.610288877708606,1,0,-2611.95362755907,-2021.39957538013,-590.554052178938
33801,2.60854045980713,0,0.261975380486827,0,0.0334280087586974,0,9,1.55251811704278,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.983612833022205,1,0,-2522.14630949536,-1869.40201107428,-652.744298421075
33901,2.61986074390512,0,0.273622236009227,0,0.0316089730649678,0,9,1.50043991816259,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.988761241628606,1,0,-2580.8825855293,-1833.93281800602,-746.949767523282
34001,2.70619247781054,0,0.283475868780628,0,0.0317700999267012,0,9,1.63514327445331,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.986553377100638,1,0,-2497.39377752643,-1885.4125169208,-611.98126060563
34101,1.78555874139954,0,0.231511504569344,0,0.0271040879121277,0,9,1.59936709170136,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.767291876490455,1,0,-2625.25669824272,-1928.20138124239,-697.055317000332
34201,3.3311387201964,0,0.619276954614447,0,0.022102751868816,0,9,1.59327211289474,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.572346688332842,1,0,-2546.6992906437,-1924.51881837206,-622.180472271647
34301,3.36531353360192,0,0.479312672335137,0,0.0303182442714484,0,9,1.57304181642994,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.565471218987742,1,0,-2594.33713131186,-1869.58722827665,-724.74990303521
34401,2.10795828339691,0,0.280127922718339,0,0.0279041708575749,0,9,1.67702645940947,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.635811744295676,1,0,-2538.10893283504,-1902.40289497822,-635.706037856817
34501,2.33304846611538,0,0.280127922718339,0,0.0344723521920562,0,9,1.62605803647509,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.599965335196727,1,0,-2479.3466435387,-1913.97741982696,-565.369223711738
34601,3.12930607558968,0,0.502055133410126,0,0.0244053268515722,0,9,1.58196400048902,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.726614405689425,1,0,-2559.66500039437,-1957.91292192425,-601.752078470117
34701,2.56520539720988,0,0.242032871932569,0,0.0434912105606789,0,9,1.53972383659817,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.57660238703196,1,0,-2521.48884715997,-1831.97795214184,-689.51089501813
34801,2.56214356360703,0,0.253047299196226,0,0.041812668586546,0,9,1.59761076242172,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.572748223786307,1,0,-2526.79257591616,-1861.41690144762,-665.375674468538
34901,2.53132949690784,0,0.247457363895814,0,0.0412436087380659,0,9,1.56124459104452,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0.580036454037289,1,0,-2553.68270076102,-1854.17855116018,-699.504149600837
