sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
45001,1.67548871877457,0,0.140773843666854,0,0.0338741053233717,0,9,1.58517273297051,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2459.73039349243,-1842.84619790015,-616.884195592279
46001,1.97521824111854,0,0.195657618683821,0,0.0323719804572621,0,9,1.47817795264275,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2493.39500736265,-1841.13524298198,-652.259764380672
47001,1.95616655982479,0,0.151362250736652,0,0.0408882014502336,0,9,1.52756841536119,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2432.76376581342,-1801.68005448457,-631.083711328848
48001,1.6425123114054,0,0.162716021523994,0,0.0320549311249668,0,9,1.68011788518831,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2572.60846086951,-1929.6167759372,-642.991684932309
49001,2.37446199294402,0,0.166794805277479,0,0.0465972723564686,0,9,1.52626273505588,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2460.17625478484,-1835.90020829633,-624.276046488515
50001,2.17054612866852,0,0.118372797508472,0,0.0580897215234773,0,9,1.53204630037966,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2488.90933669807,-1816.78798826236,-672.121348435704
51001,1.71819334177117,0,0.142195832402841,0,0.035648763744823,0,9,1.6263766660038,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2581.27601242338,-1867.03782079822,-714.238191625157
52001,2.63625378833719,0,0.120349006435024,0,0.0778773840994105,0,9,1.85681747284026,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2510.89184672497,-1881.08344186294,-629.808404862029
53001,2.49045175112672,0,0.103622559297836,0,0.0750292015669558,0,9,1.51115955952245,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2460.63152524887,-1768.99479752937,-691.636727719498
54001,1.83427821058804,0,0.171310436409452,0,0.0351838646832223,0,9,1.71799559342282,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2471.45305606941,-1887.22339444857,-584.229661620843
55001,1.68682157250674,0,0.136888313890618,0,0.0373907286115181,0,9,1.73426117411849,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2393.5831617399,-1846.58842372139,-546.994738018515
56001,2.95451397859695,0,0.118537658059816,0,0.0798751778892761,0,9,1.5870830650836,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2383.27759289509,-1788.37337980589,-594.904213089203
57001,2.12415298689635,0,0.170352474162696,0,0.0405591106896163,0,9,1.47638381903674,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2417.94445988789,-1822.27586336598,-595.668596521908
58001,1.19070356760556,0,0.105729431070562,0,0.034217976646497,0,9,1.45592088856453,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2611.05903541149,-1901.03332153181,-710.025713879681
59001,3.18463974640537,0,0.164977744790039,0,0.0652421830661449,0,9,1.55771478749184,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2467.25880291113,-1796.70653124015,-670.552271670973
60001,3.15251950224636,0,0.156796967273424,0,0.0649613667269708,0,9,1.35943526886122,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2333.27217444353,-1775.86617298222,-557.406001461312
61001,3.19341041548879,0,0.162080489220546,0,0.0649613667269708,0,9,1.47855911721746,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2355.61057415766,-1778.13128771711,-577.479286440553
62001,2.88255341021944,0,0.142885288460543,0,0.0647893729926576,0,9,1.46517739192135,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2377.46970779653,-1765.12401525146,-612.345692545066
63001,2.80929213522618,0,0.133616270991393,0,0.0662143191582539,0,9,1.46905868263524,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2378.2412260385,-1814.03679799448,-564.204428044021
64001,2.45061917216107,0,0.11754096387952,0,0.0655431478296788,0,9,1.34294482923731,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2483.85324820801,-1772.56417182574,-711.289076382271
65001,2.31593962794936,0,0.112740989232271,0,0.0628578451023197,0,9,1.25696384180335,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2403.23253461184,-1748.15421415037,-655.078320461466
66001,1.52753661359745,0,0.0753432445615731,0,0.0573212337357546,0,9,1.33864701828775,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2504.22086669073,-1703.38965341445,-800.831213276273
67001,1.69126658887686,0,0.143516546017364,0,0.0357362447867386,0,9,1.65224650432764,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2583.89951709132,-1912.9866189468,-670.912898144512
68001,1.6339661768364,0,0.157436188815383,0,0.0320944455287748,0,9,1.66297536525947,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2442.09234652026,-1874.96878068697,-567.123565833286
69001,1.70218266932748,0,0.146331555175237,0,0.0351566517437352,0,9,1.61524865808486,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2413.65355698138,-1833.16014879493,-580.493408186452
70001,1.22224231082953,0,0.093693912994624,0,0.0366109354626454,0,9,1.7288848470248,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2499.99230763842,-1845.0774716968,-654.914835941623
71001,2.32912947688684,0,0.199969429564534,0,0.0403849927215653,0,9,1.64133509256208,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2364.11325786049,-1838.39482977229,-525.7184280882
72001,2.32512457052907,0,0.191665336269671,0,0.0403849927215653,0,9,1.42556363513491,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2383.91543176788,-1832.3837480139,-551.531683753981
73001,2.20923906160125,0,0.123658771792737,0,0.0557341856591365,0,9,1.3942820512795,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2416.85077260764,-1754.14928976709,-662.701482840548
74001,1.68957558711756,0,0.150642437516455,0,0.0349126734342846,0,9,1.59921599915649,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2413.28270251445,-1894.70534709965,-518.577355414807
75001,2.54946822733578,0,0.149785090017894,0,0.0556562731193842,0,9,1.42911875384596,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2471.04175533826,-1817.61988174751,-653.421873590746
76001,1.69091997101277,0,0.15026685380564,0,0.0346904604493337,0,9,1.59800949072714,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,1,0,-2574.69515095084,-1847.3638555683,-727.331295382544
