sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
11001,2.06566801559975,0,0.021962717148085,0,0.067390783037761,0,9,1.04449567237467,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.130630056080891,1.68768092856331,0.112081345681805,0,1.16341822305023,0,1,1,-5217.90125991743,-4451.39408305397,-766.507176863469
12001,2.09520745407151,0,0.0206832904833887,0,0.0692791037302237,0,9,1.04045906509247,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.122301455087673,1.70592303820559,0.0868577091599518,0,1.1145975357147,0,1,1,-5214.24895006685,-4433.63009813641,-780.618851930446
13001,2.16300098160869,0,0.0247973595676349,0,0.0708008928691141,0,9,1.01999619858311,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.133631925850825,1.92072849120485,0.0894751762227986,0,1.11923712314995,0,1,1,-5205.58200827598,-4432.72224605091,-772.859762225071
14001,2.18183590535996,0,0.0229666723389618,0,0.0720737615945818,0,9,1.0158360384267,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.125890600864462,1.88371578536917,0.101405461199624,0,1.14747229831119,0,1,1,-5236.05603116308,-4456.82947413447,-779.226557028609
15001,2.2118473205391,0,0.0285781639585735,0,0.0724968876267193,0,9,1.03671623490996,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.13071528331269,1.98935054435367,0.100515830837271,0,1.14151002895257,0,1,1,-5182.98608112099,-4421.00333926149,-761.9827418595
16001,2.13142280086522,0,0.020701043949264,0,0.0727895932883417,0,9,0.99824216827412,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.128907102999979,1.95027113762308,0.0946101354170881,0,1.07803875724371,0,1,1,-5174.04108102556,-4411.35385134847,-762.687229677084
17001,2.12869816227881,0,0.0184343335937287,0,0.0731382587562736,0,9,1.01971620169283,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.120369075689639,1.77731447008136,0.0936481158414221,0,1.03785911821278,0,1,1,-5183.34410726456,-4424.18119829661,-759.162908967948
18001,2.16983942092106,0,0.0232344608347207,0,0.072243956620046,0,9,1.00655217351905,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.117907986402024,1.71215093301742,0.0863596059595066,0,1.0594530288391,0,1,1,-5161.77323771087,-4416.14420181165,-745.629035899212
19001,2.16914516518048,0,0.0323796157072892,0,0.0719963562517048,0,9,0.997032887226657,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.136077678295271,1.69380474024795,0.0951317146875541,0,1.0776346693255,0,1,1,-5163.08146191189,-4409.39304945442,-753.688412457469
20001,2.20796350239361,0,0.0277178945456968,0,0.0731065986217725,0,9,0.988172690256059,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.118396817374648,1.77159776741413,0.0936241841825926,0,0.993450115594869,0,1,1,-5153.37202203581,-4407.10312581282,-746.268896222993
21001,2.22044219891312,0,0.026524804361382,0,0.0737990547778901,0,9,1.00445329014927,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.127161291275302,1.83679791719147,0.104014426441952,0,1.03031081755236,0,1,1,-5150.87952732812,-4420.43600812623,-730.443519201888
22001,2.14708419254782,0,0.0260068636254187,0,0.0728424145482038,0,9,1.02201108394914,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.130903145833681,1.97336979362736,0.11141316182743,0,1.10018709022736,0,1,1,-5177.95716105838,-4433.58728937548,-744.369871682906
23001,2.17736951844077,0,0.023223026139335,0,0.0731089389474338,0,9,1.01164901442766,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.124466351779749,1.94736737932468,0.100502461812703,0,1.05750982881158,0,1,1,-5172.43369886739,-4439.39175418424,-733.041944683144
24001,2.17444854991706,0,0.0243023790973419,0,0.0728484766919942,0,9,1.03532159533803,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.127762737261131,2.00105294551046,0.10700472017024,0,1.06533859557549,0,1,1,-5189.77011273038,-4448.7373634334,-741.032749296986
25001,2.13386588224584,0,0.0226391336070459,0,0.0713469637367009,0,9,1.02123833909702,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.129591759507196,1.77042465800422,0.105362016645936,0,1.06285474452549,0,1,1,-5176.40508498467,-4424.53394308403,-751.871141900643
26001,2.17708153647469,0,0.0227923892670018,0,0.0719437892902231,0,9,1.02365145038679,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.133233879122734,1.56921756784572,0.0964434886274248,0,1.08060868569662,0,1,1,-5228.37465609972,-4454.96820433897,-773.406451760749
27001,2.07983821322655,0,0.0229616719828427,0,0.0668433361388188,0,9,0.987683645986086,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.11521470794734,1.97333426548212,0.098518949013596,0,1.26656344949771,0,1,1,-5234.37178192961,-4446.4540671919,-787.917714737706
