sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
1001,2.50499771124416,0,0.0224548609951823,0,0.0832277764034837,0,9,1.28437418799465,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.25214217004613,0.285805989509275,0.128356326166193,0,1.82711657418187,0,3.86724739026132,1,-5824.78082850294,-5019.95288051451,-804.827947988432
1101,2.47888852905429,0,0.0260105395229826,0,0.0807388109552434,0,9,1.26343157530573,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.234574164001513,0.417294007105328,0.0750582802705488,0,1.82711657418187,0,2.9400400530346,1,-5779.08250009624,-4970.32340631878,-808.759093777455
1201,2.4422011207085,0,0.0262699071961186,0,0.0807946614988532,0,9,1.26832121555383,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.229444095578356,0.581214538858803,0.131412634071547,0,1.82711657418187,0,2.9400400530346,1,-5720.17869283529,-4915.70787541384,-804.470817421459
1301,2.38935267836526,0,0.0278690929472364,0,0.0793961708469768,0,9,1.20206309745349,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.206253152472324,1.66340504249433,0.148175103239135,0,1.35367400432978,0,1.14141259265918,1,-5632.88491509353,-4843.28276337407,-789.602151719456
1401,2.34453378283025,0,0.0276616239177171,0,0.0796941127982935,0,9,1.17723532102117,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.200171365250604,1.44242213893344,0.104238573329293,0,1.28422852287008,0,1.14141259265918,1,-5569.63677505412,-4779.22369687584,-790.413078178284
1501,2.30026729576558,0,0.0282036128933445,0,0.0780262986157956,0,9,1.15644139514589,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.189501262676272,1.25081420505908,0.0929392009969236,0,1.219788725079,0,1.14141259265918,1,-5552.34970379116,-4757.0524345214,-795.297269269761
1601,2.22758422490043,0,0.0233324877009214,0,0.0770408075576212,0,9,1.15305923432373,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.184623359824832,1.25081420505908,0.0941377246620854,0,1.219788725079,0,1.14141259265918,1,-5523.85446760272,-4728.54800690102,-795.306460701695
1701,2.20857454642184,0,0.0362628570445907,0,0.0730498181557023,0,9,1.11873791882225,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.153863650944021,3.29126927518328,0.0706110251735632,0,1.14731258849986,0,0.5237767049981,1,-5480.12407761129,-4683.91683239928,-796.207245212013
1801,2.18763094519297,0,0.0316212087851039,0,0.0729400546752584,0,9,1.10541408321843,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.135539827970596,3.33146998285778,0.0706110251735632,0,1.11722247736271,0,0.556774027947173,1,-5462.01161995643,-4667.71942393469,-794.292196021742
1901,2.23710215524695,0,0.0145460206379066,0,0.0785447546213592,0,9,1.15207982738491,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0884616603842126,3.36682175691846,0.0484230656418536,0,0.976910217763457,0,0.490947636521173,1,-5474.51670195296,-4684.50732336752,-790.009378585438
