sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
10001,2.00214319497042,0,0.0419739025479478,0,0.0497140025533652,0,12,1.25372930757996,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.316334047513937,1.19135967484092,0.000141952255940571,0,1.64623946426604,0.0454484829327231,1,1,-19932.064251589,-18386.4928556676,-1545.57139592141
11001,1.99382286533868,0,0.0399088544874739,0,0.049919471167275,0,12,1.24921213495606,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.391628914488827,1.0470669671849,0.000552003108503005,0,1.61733870390168,0.0454484829327231,1,1,-19923.7077959469,-18402.5410991469,-1521.16669679997
12001,2.02094473261945,0,0.0422361387355377,0,0.0499678961027053,0,12,1.23525308345145,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.23595932182878,1.2453041466531,0.000148388785277103,0,1.73227591170599,0.0462489134745811,1,1,-19861.1015061196,-18392.227431396,-1468.87407472363
13001,2.03157927597388,0,0.0423978249696793,0,0.050058573340348,0,12,1.2372897308467,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.229491995940517,1.2937055754963,0.000260216385528713,0,1.61452924029679,0.0505807555627217,1,1,-19971.3183063482,-18432.5717845094,-1538.74652183875
14001,2.07866581102221,0,0.0450746017933809,0,0.0506350599451487,0,12,1.25129003117693,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.176838215371068,1.35454398147051,3.52224652445691e-05,0,1.77953909791856,0.0486812378166104,1,1,-19914.0153292392,-18405.4542442883,-1508.56108495085
15001,2.08754918539874,0,0.0480720024670343,0,0.0498557266647655,0,12,1.23589271677621,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.199399635795396,1.35454398147051,0.00017826179587152,0,1.76937149313686,0.0517006369659538,1,1,-19917.1787549047,-18402.9941929643,-1514.1845619404
16001,2.0413459976254,0,0.027911440186721,0,0.0504464433381426,0,12,1.23850342768939,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.47083127114615,0.995895707561717,0.000225033018566969,0,1.13966864161908,0.0571519573164663,1,1,-19888.0452481726,-18403.6666406064,-1484.37860756616
17001,2.05528964331902,0,0.0281096849253754,0,0.0503692034202863,0,12,1.23531677842883,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.421151083496515,0.926148881790386,0.000289645873762672,0,1.44511778549556,0.049397801117786,1,1,-19834.7892480028,-18392.5126497357,-1442.27659826712
18001,2.01877674219244,0,0.0261821034893649,0,0.0499100565707417,0,12,1.2224317437894,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.377617458366405,0.993940043983128,0.00048186633433032,0,1.41866703372226,0.0507595204230408,1,1,-19795.1890602179,-18381.1983468082,-1413.99071340965
19001,2.03376438480687,0,0.0282472212567278,0,0.0503129555365656,0,12,1.22967220522784,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.398057462041739,1.11761347340198,7.30682151140252e-05,0,1.53876013263756,0.0554030660745134,1,1,-19865.9646105964,-18439.2151205464,-1426.74949005001
20001,2.01601137299777,0,0.0257321084379182,0,0.050102858604233,0,12,1.26041470286234,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.347371842414473,1.09235379338481,0.00116407726207242,0,0.738694541675412,0.0781796595456187,1,1,-19810.202740011,-18405.8321406468,-1404.37059936418
21001,2.05742568875613,0,0.0287015885140512,0,0.0504965670734502,0,12,1.26331733610624,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.342600853863819,1.22491482356226,0.000777328338883736,0,0.865000607414081,0.0718589956274031,1,1,-19820.4860590314,-18425.9066883789,-1394.57937065246
22001,2.05907800689513,0,0.0259640344856629,0,0.0508340186445483,0,12,1.26106541394859,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.297289386291339,1.18543012837189,0.000991105010803339,0,0.729910617534826,0.078328174565767,1,1,-19786.3735979029,-18409.1707468934,-1377.20285100956
23001,2.01377722290808,0,0.0229128800071634,0,0.0499654124697995,0,12,1.23861709594667,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.241377722232018,1.17035656443135,0.000129735242137852,0,0.858430001268629,0.0742064535776625,1,1,-19776.7505605251,-18399.4687970513,-1377.28176347386
24001,2.05361324458194,0,0.0237468080856088,0,0.05162843995548,0,12,1.23622914580054,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.296727834120834,1.15691686325577,7.4911020196354e-05,0,0.851804406624393,0.0781778320571693,1,1,-19817.7837791645,-18404.3866764567,-1413.39710270782
25001,2.01819454259061,0,0.0238304261961649,0,0.0503836298613795,0,12,1.22576859715987,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.1719580424041,1.4072532998973,2.5493999310569e-05,0,0.340358148521664,0.0721074377832578,1,1,-19809.6517939171,-18388.7855875419,-1420.86620637529
26001,1.99850012267698,0,0.0234710450787154,0,0.050376498271315,0,12,1.2307341178905,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.174121781422675,1.57447704588302,0.000779706364192052,0,0.379325433335328,0.0775814056182524,1,1,-19771.3832635795,-18373.0458154313,-1398.3374481482
27001,2.01084616422525,0,0.0226683970892987,0,0.0501580236548435,0,12,1.24286334079052,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.144116475407432,1.43950296442065,2.34165988530393e-05,0,0.515979078568927,0.0720554363869643,1,1,-19763.0409378128,-18375.7125406878,-1387.3283971251
28001,1.99693613126225,0,0.0227212423918888,0,0.0499846349592432,0,12,1.2503621969717,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.204581042117711,1.32468336690406,0.000961973451878073,0,0.589539129854449,0.0761527882607331,1,1,-19776.008527294,-18362.4853895257,-1413.5231377683
29001,2.00685067970311,0,0.0239385000241265,0,0.0498351246496079,0,12,1.24422447052125,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.229184032024232,1.27738510962522,0.000504409275449634,0,0.661632817368037,0.0774914830659273,1,1,-19800.3972986443,-18387.9013938029,-1412.49590484135
30001,2.03912930231812,0,0.0385122402200551,0,0.050447181066786,0,12,1.2463063329298,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.571697595672178,0.403456435130616,0.00047790150052456,0,1.61331959026496,0.0124158989873888,1,1,-19767.7624573938,-18364.2767544514,-1403.48570294242
31001,2.00824302409414,0,0.0248598409702459,0,0.0495158981990988,0,12,1.25226004312506,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.226167249930762,1.31075808322959,0.00107535391920338,0,0.708457942358221,0.0766182783711542,1,1,-19794.8614327467,-18400.0144536537,-1394.84697909299
32001,1.99420329328235,0,0.0208833407700527,0,0.0501032546532186,0,12,1.24195758056362,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0918227940008969,1.46520413117322,0.000307302480643486,0,0.36196971577067,0.0746490270678686,1,1,-19778.6375410584,-18388.0473363497,-1390.59020470875
