sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
131501,2.27923057368113,0,0.00973634854755301,0,0.0798488360049184,0,9,0.884918564977282,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0800054237276063,0.894153386439249,0.0341050120124923,0,0.735964829744729,0.43698159768753,1,0.542372358984094,-4807.21021117064,-4126.0358117789,-681.174399391734
131601,2.27286028677035,0,0.00720059393938368,0,0.080463860881631,0,9,0.911263338800107,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0759682649014982,0.983166723153599,0.0459473827675961,0,0.655467052031673,0.965398374939857,1,0.457120359144156,-4812.37517262805,-4117.68746314062,-694.687709487433
131701,2.24461225289484,0,0.00507478631175471,0,0.0796193204405644,0,9,0.902147459235322,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0802226652266671,0.884988297025956,0.0649000507470116,0,0.658772403680361,0.825118890725596,1,0.396365228354118,-4798.24274531412,-4116.0569825567,-682.185762757426
131801,2.24890077258402,0,0.00688849343574106,0,0.079374205066285,0,9,0.893181153710848,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0759018421065109,0.962720063439744,0.0769624399410457,0,0.645034827144871,0.846828176645043,1,0.294358646280477,-4792.02779569445,-4113.9180774501,-678.109718244351
131901,2.26040700595937,0,0.00938923049710265,0,0.0790512615033226,0,9,0.904379385210612,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0761135724087242,0.890694998512802,0.0955359256982699,0,0.654190293512989,0.774146682820695,1,0.338284635100951,-4792.8383218525,-4117.97343463627,-674.864887216231
132001,2.25678476075613,0,0.00797188871336049,0,0.0787372257537169,0,9,0.904379385210612,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0762068868373417,0.885902008143293,0.0965506613876567,0,0.719456458580797,0.793594422512276,1,0.292388976526788,-4795.68816759043,-4122.53924000543,-673.148927585
132101,2.280520686109,0,0.00867354065411984,0,0.0797520846304934,0,9,0.922703221506015,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0761119219921266,0.749570537024139,0.0793771503882379,0,0.719456458580797,0.968966690801571,1,0.328668116258004,-4795.50973533765,-4122.96018365725,-672.549551680399
132201,2.27965209295755,0,0.0085869578641112,0,0.0798114152861919,0,9,0.914921524613009,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0761119219921266,0.806474671903467,0.0762450182188406,0,0.681419200070002,0.84230878993545,1,0.336462777798109,-4798.12193485262,-4126.75708266702,-671.364852185605
132301,2.25112212578362,0,0.00624434165409039,0,0.079650650754145,0,9,0.890439733091987,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0761119219921266,0.96616029392981,0.0767431631993606,0,0.615927919667014,0.802941664100181,1,0.365227068010448,-4797.44947777303,-4119.6750949158,-677.774382857233
132401,2.24520860948731,0,0.00621695155473524,0,0.0796746235442881,0,9,0.920593252043767,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.077489153463544,0.85046130562671,0.0666271437781708,0,0.675660051538422,0.701063213615234,1,0.330035154074597,-4809.00637853126,-4137.00232645626,-672.004052075001
132501,2.24520860948731,0,0.00470279648365085,0,0.0798038615899434,0,9,0.900154565664063,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0745121613069209,0.8011677503074,0.0626538097269057,0,0.584365251573548,0.672482146561418,1,0.416477519340898,-4816.41735139982,-4130.88947047113,-685.527880928693
132601,2.21359310229237,0,0.00607058778414262,0,0.0787706041346448,0,9,0.909680813313187,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0699325050313541,0.851301217123492,0.0622416366000815,0,0.565302229219033,0.829448834905673,1,0.372562961494196,-4825.31375666809,-4139.27361673851,-686.040139929579
132701,2.20479961403896,0,0.00534632549558072,0,0.0791273048371582,0,9,0.906053372937536,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0750370712395979,0.95836582652788,0.0932465209967612,0,0.616283532578355,0.98521200180399,1,0.265806678691763,-4810.003511889,-4136.77002270081,-673.233489188191
132801,2.21417245793456,0,0.00445669956251461,0,0.0786818797999873,0,9,0.911431544054093,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0751992482071625,0.834045344824304,0.0864436241925046,0,0.630903755623351,0.983365922787886,1,0.280802572272262,-4803.15965407009,-4130.15681664707,-673.002837423021
132901,2.19720544969912,0,0.00445669956251461,0,0.078801785030714,0,9,0.923411016266683,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0786084545207959,0.669905794797167,0.0968544674897899,0,0.64868552937595,0.789045813580703,1,0.280802572272262,-4806.27551521395,-4132.03211154793,-674.243403666019
133001,2.20145372796411,0,0.00461814092500287,0,0.0786440136631494,0,9,0.923411016266683,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0694525626097747,0.756313575677275,0.0968544674897899,0,0.598434251513427,0.806038323236901,1,0.266073449574533,-4792.78463609195,-4128.3771092564,-664.407526835548
