sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,rho_boost,rho_wane,lnlike,likelihood,prior_prob
74301,2.23733291261694,0,0.0225885724745006,0,0.0752234222089585,0,9,0.891925849382379,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.05013877339155,0.831709426897578,0.090997672529891,0,0.490275465120451,0.206723767330404,3.77734160702676,1.7586839288706,-2048.72394403633,-1326.00104265322,-722.722901383109
74401,2.221507294027,0,0.0199259024874787,0,0.0755199361552718,0,9,0.932854536466242,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0627124804877025,0.598475400055759,0.0871739948466419,0,0.62416005399809,0.573972978394013,4.80819564964623,2.26015061105136,-2030.37673078613,-1315.40877294991,-714.967957836223
74501,2.07207134050256,0,0.00363954980218264,0,0.0794164001289931,0,9,0.850713491960564,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0730062218273244,0.43454942656681,0.00319584861909967,0,0.208973398025915,0.502604038736318,1.71135022700765,6.50531961896923,-2006.20587781204,-1312.92969674145,-693.27618107059
74601,2.04165198310969,0,0.00671052785152203,0,0.0789373432354659,0,9,0.852481623136419,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0730062218273244,0.0832576522603634,0.0200672324742191,0,0.211508389959135,0.481361114603932,6.41234122519381,4.02827672741842,-2058.60715698391,-1314.12294408291,-744.484212901005
74701,2.02778708889417,0,0.00578490316803095,0,0.0798112913239804,0,9,0.904625718144065,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0742497189875148,0.853315217047929,0.0351671190937049,0,0.200945479045295,0.804889020791744,0.692404140019793,8.92797296482604,-2075.74744100989,-1327.40734654315,-748.340094466742
74801,2.02912678257543,0,0.0102150313134466,0,0.0799229207161235,0,9,0.863284510644213,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0825016706371364,0.164013388473541,0.0233738483623602,0,0.191190753322946,0.0384359639626934,1.91541206394322,9.01034622138831,-2051.08960451082,-1315.67912538057,-735.410479130254
74901,2.0426827958765,0,0.0082819787971364,0,0.079196920779536,0,9,0.877443454044281,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0758962317740918,0.715213409764693,0.0843799897474237,0,0.182707813220569,0.284907667946537,2.63745352695696,3.39424155571032,-2019.33561414288,-1303.08665736795,-716.248956774923
75001,2.1324732788747,0,0.0183068097866876,0,0.0756114335825851,0,9,0.939294167621131,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0705377102924981,0.111359454854392,0.0956025026105343,0,0.621054006884054,0.710297384762671,4.451665061526,7.33028054737952,-2184.55434969997,-1419.51408051207,-765.040269187904
75101,2.05130354184327,0,0.010930391186204,0,0.0807032651971048,0,9,0.850075420047882,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0732834110850378,0.569870463944972,0.0111038399864919,0,0.200267742750387,0.205138210856821,5.71351684094407,0.119314494892027,-2066.74223137931,-1326.58742094776,-740.154810431549
75201,2.00935946202888,0,0.0126763713683732,0,0.0798855678535067,0,9,0.871691405858562,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0717838053511224,0.137211688468233,0.0177667452483438,0,0.204458812686313,0.0802823387109681,8.49729432887398,2.5451407689834,-2091.02333885986,-1339.7845872874,-751.238751572467
75301,2.06342433895291,0,0.0136270372213732,0,0.0794072664255626,0,9,0.90268379241129,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0649161885425011,0.198031913116574,0.0434198559257202,0,0.202343428710262,0.0779678583587513,5.51909685437567,9.53645642695483,-2102.42576025979,-1365.11517213527,-737.310588124512
75401,2.06903361426894,0,0.0149449268805972,0,0.0801527281259641,0,9,0.836512080330569,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0607969932498605,0.892390240076929,0.055747296707239,0,0.139089982249591,0.618125918738078,4.18475766270421,1.16445219761226,-2039.37312882956,-1279.28261882958,-760.090509999978
75501,2.06903361426894,0,0.00955256505248976,0,0.0789414326374637,0,9,0.847668267470052,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0782774752487209,0.724560095323249,0.0764422436482273,0,0.22727048304474,0.835793142158072,3.07342021423392,1.61401862127241,-2032.38208488594,-1288.78339430969,-743.598690576242
75601,2.1341217933176,0,0.0192151791457197,0,0.0755901435261465,0,9,0.89735223262552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.068732028844186,0.585127013805322,0.0730660983063282,0,0.659649659093965,0.380194534545299,7.23266612086445,3.47025930380914,-2036.41063547791,-1311.68460092307,-724.726034554841
75701,2.13496502918393,0,0.0192151791457197,0,0.0752830556218667,0,9,0.89735223262552,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0547366937821492,0.223233530134894,0.0114588754316791,0,0.725982165901601,0.445266943660099,1.36149777052924,6.54788217472378,-2048.27617719985,-1309.83424267625,-738.441934523604
75801,2.19012100586593,0,0.0206658850231056,0,0.0753151554544349,0,9,0.88899716598723,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0597435093599095,0.227895394363441,0.0541509575843812,0,0.845588811535823,0.356301000805106,7.40700423438102,4.03785935172346,-2070.76709558778,-1311.72666440198,-759.040431185797
75901,2.1828776417978,0,0.0194180311678213,0,0.0759456344721756,0,9,0.857889530543294,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.0666666540287859,0.0380616045324134,0.0774946036916227,0,0.771877160712133,0.263456544375513,3.79162395559252,6.63693615968805,-2068.80701196869,-1315.26178394658,-753.545228022108
