sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1069001,2.59763119292126,0,0.176191635827593,0,0.063042786453286,0,9,1.39475294730887,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2489.76210031462,-1712.07530678447,-777.68679353015
1070001,2.45152679198666,0,0.179751218414667,0,0.0592888588841404,0,9,1.41679648156791,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2661.04318089196,-1844.87698453806,-816.166196353902
1071001,2.34857915931101,0,0.178463719591359,0,0.0572465723378315,0,9,1.32014649942482,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2469.56970302222,-1707.59251338743,-761.977189634788
1072001,2.5459116648672,0,0.179116656384369,0,0.0604935714230909,0,9,1.36965638459129,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2571.75446311742,-1731.17059703146,-840.583866085961
1073001,2.64698800199649,0,0.183909365553026,0,0.06165975163281,0,9,1.39099877192023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2511.44057884333,-1710.79007278928,-800.650506054051
1074001,2.59317950121902,0,0.180724910652588,0,0.0610987485821018,0,9,1.33767800871058,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2681.86170111608,-1773.51374628523,-908.347954830847
1075001,2.6036288713472,0,0.178661600440841,0,0.0623211731375697,0,9,1.40437834077188,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2626.33847667307,-1749.15293388697,-877.185542786106
1076001,2.65480063281826,0,0.177228323456817,0,0.0627067394306097,0,9,1.38977775140587,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2504.3691916908,-1733.04486357981,-771.324328110994
1077001,2.37606177101634,0,0.17424630220653,0,0.058901377648905,0,9,1.50821201250616,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2593.50668540851,-1777.13425654834,-816.372428860172
1078001,2.29556793806309,0,0.17338162392407,0,0.056130804555243,0,9,1.37769080128882,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2486.49444300502,-1736.03739534253,-750.457047662482
1079001,2.4517593370276,0,0.178562387078484,0,0.0577681093417429,0,9,1.35952725502916,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2638.31276479212,-1764.40003239887,-873.912732393258
1080001,2.33788214979991,0,0.176640594851679,0,0.0547629715397179,0,9,1.24697900035014,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2487.86753152902,-1706.73781342323,-781.12971810579
1081001,2.63767231467303,0,0.176517118231489,0,0.0621683575719443,0,9,1.39109131807313,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2468.65363799353,-1716.58975850179,-752.063879491741
1082001,2.68452615923418,0,0.179013761001771,0,0.0647762704511591,0,9,1.36914327603253,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2417.48199091273,-1698.68962180501,-718.79236910772
1083001,2.57832959111134,0,0.177868453713073,0,0.0625135663561711,0,9,1.34585090394667,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2480.72429422706,-1717.77087766444,-762.953416562616
1084001,2.6102834025641,0,0.174315746741569,0,0.0642880594996015,0,9,1.36721278993043,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2546.56485937256,-1709.94221476266,-836.622644609894
1085001,2.48763254073443,0,0.18219934659959,0,0.0583909333126719,0,9,1.41458439609529,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2685.04037073651,-1741.26108209048,-943.779288646033
1086001,2.55373608961561,0,0.180844445523817,0,0.059395757998049,0,9,1.38099102461459,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2539.31417531248,-1709.11679278655,-830.197382525931
1087001,2.70877862712745,0,0.182607393496359,0,0.0620598651786296,0,9,1.41219473597358,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2575.52372547049,-1735.3625963953,-840.161129075193
1088001,2.4693325579358,0,0.18276760514405,0,0.059461902226987,0,9,1.37528838390036,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2529.53481615688,-1754.09796442434,-775.436851732543
1089001,2.52210763466405,0,0.178641128646449,0,0.0597243718245546,0,9,1.36564349967728,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2509.39048667307,-1710.01059768621,-799.379888986861
1090001,2.48188993675991,0,0.17763018255707,0,0.0568622176280279,0,9,1.33123682319765,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2492.91055133596,-1706.24795319436,-786.662598141595
1091001,2.59850170092445,0,0.180538107785008,0,0.0613290207762642,0,9,1.41551954297717,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2544.24439904315,-1734.41690826684,-809.827490776309
1092001,2.63776434991486,0,0.180469185478003,0,0.062053822165786,0,9,1.30761176805261,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,1,0,-2463.94099357606,-1708.6114337929,-755.329559783155
