sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_prev_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
10001,0.327290821040164,0,0.0412429064756088,0,0.000444708856024,0,9,2.2546051864042,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2750.61318739046,-2137.35344328038,-613.25974411008
11001,0.439180382198901,0,0.344261239719108,0,0.489211752027158,0,9,2.78156391872675,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2945.03568444428,-2361.97984963136,-583.055834812923
12001,0.36907077215438,0,0.306766572343426,0,0.00614561137222988,0,9,2.42082488368536,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-3145.05948537141,-2284.44693685773,-860.612548513681
13001,0.326730809448637,0,0.0102720300960999,0,0.0273479438845143,0,9,2.49478452796587,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2735.10498477234,-2254.29924799246,-480.805736779879
14001,0.300662474546458,0,0.00179466893704583,0,0.0281150112538804,0,9,1.7067276340512,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2904.25905133735,-2070.65424555858,-833.604805778766
15001,0.368098991590985,0,0.0507636435064198,0,0.0349069648357977,0,9,2.39494154519253,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2828.69707227164,-2244.1769392514,-584.520133020247
16001,0.292783547158128,0,0.0239334684418765,0,0.00252064370166181,0,9,2.24227824800208,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2906.56239556202,-2160.79777828165,-745.764617280378
17001,0.344785628902127,0,0.0932086639093808,0,0.013604441128487,0,9,2.41756718189083,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2846.33319246848,-2264.49366068237,-581.839531786111
18001,0.296834636177853,0,0.00332936966553793,0,0.0300611197213697,0,9,1.53103722232422,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2846.075388441,-1837.69703675674,-1008.37835168427
19001,0.366428743295432,0,0.0577451068608968,0,0.037929245759126,0,9,2.52346965656612,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,0,0,0,-2967.64164287968,-2207.84460013098,-759.797042748701
