sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
8101,2.78546727597859,0,0.0251517754263639,0,0.0631030597307145,0,9,1.067176703311,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0782074392534442,0,0,0,1,0,-2030.50441186282,-1461.62558203022,-568.878829832596
8201,2.77888518434245,0,0.022647283950129,0,0.0632889394532477,0,9,1.04786858495998,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.085578969665657,0,0,0,1,0,-2008.29284734767,-1452.19303328655,-556.099814061122
8301,2.78700181556067,0,0.0325545918854468,0,0.0629107633830171,0,9,1.06210922271023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0896002748650828,0,0,0,1,0,-2033.6138705722,-1463.93199632095,-569.681874251251
8401,3.1904418211386,0,0.0735127163747615,0,0.0614409577282453,0,9,1.08229326863738,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0888476584688429,0,0,0,1,0,-2036.25040986329,-1492.390891729,-543.859518134296
8501,2.76224064245239,0,0.0230938657649652,0,0.0644101701419479,0,9,1.01923122824366,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0931350092215115,0,0,0,1,0,-2044.76565233303,-1450.06204250733,-594.7036098257
8601,2.75951223316963,0,0.0285012290696458,0,0.0647562884968529,0,9,1.04551023168449,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0901850560945909,0,0,0,1,0,-2051.20685390857,-1463.75416570405,-587.452688204518
8701,3.21288071452452,0,0.0801425659192138,0,0.0593777298508294,0,9,1.0510046874047,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0738219949070038,0,0,0,1,0,-2041.45770993634,-1483.94081677489,-557.516893161455
8801,2.75629365974333,0,0.0237342304884617,0,0.0641330445495019,0,9,1.0398415155023,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0808630963865987,0,0,0,1,0,-2056.89734566674,-1476.68009214785,-580.217253518895
8901,2.75644053270256,0,0.0199897185503953,0,0.0638258353355516,0,9,1.079473067553,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0790629103255258,0,0,0,1,0,-2068.88412234464,-1493.02481794843,-575.859304396212
9001,2.75686047235028,0,0.0193644055724085,0,0.0636065427018873,0,9,1.060147588915,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,0.0802499030830246,0,0,0,1,0,-2045.95979357753,-1471.4552241931,-574.504569384433
