sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,th1_SP,th2_SP,th3_SP,alpha_SP,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
1001,2.11701969765747,0,0.0651735309272132,0,0.0478892866415746,0,12,1.24495859515504,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.391535853239845,0.857935446618786,0.191152805483507,13.641233750092,0.274996093285773,0,-37024.3742092093,-35506.5242626254,-1517.84994658386
1101,2.10783281004061,0,0.0646979282527384,0,0.0478582660061391,0,12,1.19083236961857,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.375755805906651,0.805919820842605,0.191152805483507,13.5304018565168,0.286103593627745,0,-36791.6285651452,-35262.1269596932,-1529.50160545202
1201,2.11795828767831,0,0.0632501110288012,0,0.0478351179921134,0,12,1.19973864211152,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.375755805906651,0.791494891959047,0.178793201644112,13.3827888959434,0.292369223792332,0,-36556.9503067688,-35028.2068790507,-1528.7434277181
1301,2.10916141220776,0,0.0626486632603151,0,0.0477173721542719,0,12,1.17377895194789,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.361470418162894,0.757024940945144,0.171605307472587,13.3277978495055,0.30029366926627,0,-36330.9159423456,-34793.0552360209,-1537.86070632465
1401,2.12952176460985,0,0.0629571367069966,0,0.0478213566952968,0,12,1.16321495365855,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.361059016747485,0.742206142605161,0.162074445045125,13.2885395050207,0.304361798399457,0,-36084.3668757872,-34540.7718390362,-1543.59503675099
1501,2.14253985122737,0,0.0624666942024013,0,0.0480778336186166,0,12,1.16102205277079,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.3585830860265,0.742206142605161,0.164822257033767,13.2757427709072,0.305836732065717,0,-35905.6839257763,-34362.2506030869,-1543.43332268941
1601,2.16220813644023,0,0.0621483791731258,0,0.0479655056012654,0,12,1.15918567918504,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.347170993959766,0.734368745984441,0.163755291839625,13.2955021917333,0.307905141792451,0,-35786.6260299406,-34254.5756748484,-1532.05035509217
1701,2.15833974439468,0,0.0616659166810684,0,0.0476747841622986,0,12,1.15281864460443,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.342249737628363,0.740278187115632,0.162476419835412,13.2051602352022,0.311788476405118,0,-35689.4771434258,-34159.230594571,-1530.24654885482
1801,2.16207051363729,0,0.0612340718554607,0,0.0474926521874418,0,12,1.14410260249698,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.333043052199001,0.74038712667783,0.155030397425244,13.2221639205587,0.313994962653933,0,-35551.9077148764,-34012.0787232944,-1539.828991582
1901,2.1513880310618,0,0.0609654782208971,0,0.0471145388809168,0,12,1.14107368627453,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.329124166010946,0.724481006236329,0.1492462932816,13.1776473885269,0.311569509503908,0,-35501.7363139067,-33961.0987271484,-1540.6375867583
2001,1.88653086201775,0,0.0456374136257533,0,0.0546677042878481,0,12,1.10804510890655,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.366368875130303,0.592630356740649,0.14579044135224,11.2852284920841,0.301979157945579,0,-35407.3703117828,-33557.4820686997,-1849.88824308307
2101,1.86873064774696,0,0.044868628549247,0,0.0542808382618488,0,12,1.10167963225862,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.356551919691161,0.602481688108884,0.146385778061234,11.4255296410003,0.300369374233029,0,-35327.2996695988,-33480.7573686557,-1846.54230094306
2201,1.87508643426604,0,0.0446964838634163,0,0.0538821394161112,0,12,1.10014566970896,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.349672789185396,0.587893705582888,0.14254343089803,11.3306872211258,0.302598240783334,0,-35223.8258626374,-33391.8782919014,-1831.94757073597
2301,1.87185754328129,0,0.0448020474724355,0,0.0537190822841865,0,12,1.08894310363684,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.340904349494709,0.572952479051459,0.140110504852291,11.3340940464266,0.302598240783334,0,-35160.2896986243,-33322.0374586716,-1838.25223995278
2401,1.90014116251282,0,0.0450788233311604,0,0.0536037761278433,0,12,1.09014109959632,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.333662627774676,0.557319963407835,0.129822081211419,11.4010819708077,0.336438431328795,0,-35111.1760563347,-33269.965292149,-1841.21076418569
2501,1.88691896111182,0,0.0450672731414322,0,0.053378867620064,0,12,1.08185711124908,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.336191028261894,0.558372625615519,0.130348204055961,11.5032431875152,0.332035410699473,0,-35038.2529134797,-33197.7386457547,-1840.51426772501
2601,1.8959193896034,0,0.0451406455796952,0,0.0533196602768189,0,12,1.07339179176767,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,0.324967833492522,0.555620222781036,0.125044114514322,11.7496497543992,0.334748469247519,0,-34964.2148217106,-33129.9794980512,-1834.2353236594
