sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,lnlike,likelihood,prior_prob
5201,2.43458007575198,0,0.227855600351516,0,0.0210844614896776,0,12,0.96199063587768,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6648.07681115726,-5439.867118281,-1208.20969287627
5301,2.46256750595812,0,0.230422145651693,0,0.020857357469613,0,12,0.983527787480073,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6687.63407934476,-5445.83029162926,-1241.8037877155
5401,2.41037142168976,0,0.224599626530479,0,0.0208177203819344,0,12,0.944955211290615,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6685.9715860113,-5435.47794607278,-1250.49363993852
5501,2.42928401499853,0,0.225828088243104,0,0.0211410275721779,0,12,0.98041844375908,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6663.66429167664,-5430.54146110539,-1233.12283057124
5601,2.44274852763917,0,0.230219475465806,0,0.0208644820188798,0,12,0.960462808245244,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6677.63921177489,-5430.30532065778,-1247.33389111711
5701,2.41156400753518,0,0.221271364474422,0,0.0207743834112653,0,12,0.986443679236922,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6664.21712100244,-5429.7529523566,-1234.46416864585
5801,2.39299167795539,0,0.222460289614761,0,0.0207928037356899,0,12,0.974638291191391,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6670.38556968211,-5429.6500090994,-1240.73556058271
5901,2.43707711682499,0,0.226145369756332,0,0.0210462396271428,0,12,0.982926020941072,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6664.40704344316,-5427.87564416573,-1236.53139927743
6001,2.43248435828888,0,0.223799840958495,0,0.0212292834469141,0,12,0.982236390862969,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6650.10597115758,-5419.92285523832,-1230.18311591926
6101,2.43916823835447,0,0.221690626598199,0,0.0213873983407438,0,12,0.979726982532536,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6634.83548196159,-5412.10741055977,-1222.72807140182
6201,2.41271330226556,0,0.221512499649405,0,0.0211415588858733,0,12,0.944801101415093,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6628.4500046089,-5410.75349189258,-1217.69651271633
6301,2.44271065513408,0,0.223711294361605,0,0.0208124506723141,0,12,0.971182033276597,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6642.28110080003,-5414.05816114407,-1228.22293965596
6401,2.4316647258577,0,0.223569385537781,0,0.020983216622912,0,12,0.948626963244865,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6643.19705007086,-5404.26454515682,-1238.93250491404
6501,2.41914663577321,0,0.219330643027022,0,0.0208357036132642,0,12,0.965807292965444,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6641.17111296,-5399.68589602664,-1241.48521693336
6601,2.43034048535623,0,0.223825456434877,0,0.0208101141941774,0,12,0.955136732019087,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6668.20708434587,-5414.28970992404,-1253.91737442183
6701,2.43524983128517,0,0.223478817680343,0,0.0206266050755039,0,12,0.96287420625495,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6678.118040246,-5425.65671043407,-1252.46132981193
6801,2.37282713851815,0,0.213357104150312,0,0.0195799757865949,0,12,0.986480776249989,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6711.82099735214,-5451.83645365974,-1259.9845436924
6901,2.38823031466427,0,0.220840422781417,0,0.0207936456333489,0,12,0.967702547447621,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6704.0220168562,-5435.50707745771,-1268.51493939849
7001,2.3620169591031,0,0.212247711305481,0,0.0197975825423506,0,12,1.00914707233341,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6692.98365128694,-5444.96148790152,-1248.02216338542
7101,2.37427670436536,0,0.210636965887241,0,0.0197705937020267,0,12,0.957497379365679,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6647.52373242637,-5427.64046661458,-1219.8832658118
7201,2.33831570476078,0,0.204025416021723,0,0.0198400736276555,0,12,0.949960397724636,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6644.74199196956,-5429.64793291668,-1215.09405905288
7301,2.33978789958733,0,0.207049280717205,0,0.0199764356676856,0,12,0.96738080887625,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6666.4881290781,-5432.31351543416,-1234.17461364394
7401,2.32045634463787,0,0.203471035598733,0,0.0198882881444722,0,12,0.97880477866284,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6678.23503328343,-5429.20076954108,-1249.03426374236
7501,2.30859805939743,0,0.207337123732397,0,0.0196014434194237,0,12,0.956867759375818,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,0,-6667.48702572324,-5423.81119669972,-1243.67582902352
