sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,vac_flag,mu_vac,mu_short_vac,wane_vac,tau_vac,sigma1_vac,sigma2_vac,lnlike,likelihood,prior_prob
10001,2.93580714708943,0,0.238626603903826,0,0.0620438122268001,0,9,1.33577028703535,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00838914020959631,0,-2307.88805356389,-1704.09085590568,-603.797197658212
11001,2.96545876154659,0,0.25249015257004,0,0.0614219492821229,0,9,1.2982345437178,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00440303427232112,0,-2235.9016985285,-1685.11539036978,-550.786308158721
12001,2.98580760445772,0,0.254411314970241,0,0.0588132509881475,0,9,1.2443244270838,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00244920894237048,0,-2349.74761687205,-1685.91840179777,-663.829215074282
13001,3.20702903820963,0,0.248678475465114,0,0.064119208555244,0,9,1.33609577972909,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00581467145911002,0,-2370.52034856399,-1698.20011214625,-672.320236417738
14001,3.25473700999533,0,0.233724496986768,0,0.0715146293945526,0,9,1.31100481418388,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0062746716460657,0,-2334.08533085054,-1697.38960213533,-636.695728715204
15001,2.80996201103683,0,0.219677940050426,0,0.065059011370678,0,9,1.35561349854793,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0141486350533227,0,-2375.40310446088,-1687.07289807359,-688.330206387288
16001,3.04069834137868,0,0.251610160338385,0,0.0624474209334943,0,9,1.34329334847071,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.000265868114561936,0,-2325.43241000023,-1710.23174604808,-615.200663952157
17001,3.13196457371995,0,0.245057196140624,0,0.0641202080590667,0,9,1.26842164931806,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00291449441991366,0,-2274.8764642088,-1681.32962730956,-593.546836899243
18001,2.95345056416615,0,0.226126202971719,0,0.0617035216225602,0,9,1.27355230922894,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0138769473901494,0,-2344.25208493521,-1676.2807154119,-667.971369523305
19001,2.54906190222883,0,0.199581668657708,0,0.061133690420331,0,9,1.36140370300237,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.0197558492961969,0,-2357.72489948265,-1716.70464890282,-641.020250579828
20001,2.72390407093473,0,0.201107153369644,0,0.0678849806441266,0,9,1.31651071646255,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00547353051918729,0,-2269.28007977597,-1682.25061552612,-587.029464249847
21001,2.91386665082527,0,0.257862363944978,0,0.0516639341146795,0,9,1.40430211014605,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00332803146373006,0,-2303.42465559694,-1733.32399511173,-570.100660485213
22001,3.2748619604726,0,0.195735711561972,0,0.0879491778300186,0,9,1.22642327046463,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00113677317441064,0,-2359.63559667279,-1649.41879701207,-710.216799660716
23001,3.013269252073,0,0.18973242083892,0,0.0805410608896136,0,9,1.28424638320176,1.3,2.7,0.9,6,6,0.2,0,0,2,0.5,0,1,1,1,0,0,1,0.00113677317441064,0,-2373.62157838032,-1739.74841733902,-633.873161041306
